"dataset_id";"observacao_id";"camada_id";"camada_nome";"amostra_id";"profund_sup";"profund_inf";"acidez_acetcal70_naoh";"aluminio_kcl_naoh";"calcio_kcl_eaa";"magnesio_kcl_eaa";"carbono_cromo_30min150_mohr";"ph_h2o_25_xxx";"fosforo_mehlich1_eam";"potassio_mehlich1_eeac";"sodio_mehlich1_eeac";"dsi_cilindro";"areiafina_naoh_esferas_peneira";"areia_naoh_esferas_peneira";"argila_naoh_esferas_pipeta"
"ctb0036";"ACC-10007-2008";"1";NA;"a";"0";"20";4,74;2,27;1,48;1,84;6,6;4,5;1,7;0,26;0,08;NA;NA;476;369
"ctb0036";"ACC-11002-2008";"1";NA;"a";"0";"20";3,24;1,42;0,86;1,05;7,2;5,2;1,22;0,09;0;NA;NA;629;212
"ctb0036";"ACC-11003-2008";"1";NA;"a";"0";"20";3,08;1,42;0,89;0,79;5,4;5;3,65;0,1;0,03;NA;NA;618;207
"ctb0036";"ACC-11004-2008";"1";NA;"a";"0";"20";3,9;1,52;0,77;0,79;6,7;4,8;2,18;0,15;0,11;NA;NA;649;181
"ctb0036";"ACC-11005-2008";"1";NA;"a";"0";"20";4,14;2,5;1,19;2,24;3,6;4,9;0,56;0,05;0,02;NA;NA;504;319
"ctb0036";"ACC-11006-2008";"1";NA;"a";"0";"20";3,98;1,49;1,59;1,71;6,5;5;1,31;0,15;0,05;NA;NA;516;323
"ctb0036";"ACC-12002-2008";"1";NA;"a";"0";"20";4,3;2,22;0,76;1,05;6,1;4,6;0,92;0,06;0,02;NA;NA;599;245
"ctb0036";"ACC-12003-2008";"1";NA;"a";"0";"20";4,2;2,22;0,87;1,45;3,5;5,1;1,09;0,09;0,02;NA;NA;533;315
"ctb0036";"ACC-12004-2008";"1";NA;"a";"0";"20";4,48;2,42;0,69;1,05;5,4;4,8;0,52;0,2;0,08;NA;NA;537;309
"ctb0036";"ACC-12005-2008";"1";NA;"a";"0";"20";4,36;2,47;0,97;1,84;5;5;1,56;0,04;0,01;NA;NA;497;333
"ctb0036";"ACC-13002-2008";"1";NA;"a";"0";"20";4,42;2,27;0,92;1,19;8;4,7;1,06;0,11;0,01;NA;NA;565;283
"ctb0036";"ACC-13003-2008";"1";NA;"a";"0";"20";4,64;2,35;1,16;1,84;7,7;4,8;7,02;0,2;0,08;NA;NA;527;323
"ctb0036";"ACC-13004-2008";"1";NA;"a";"0";"20";4,04;2,19;0,75;1,32;4,9;4,8;1,71;0,17;0,02;NA;NA;551;306
"ctb0036";"ACC-13005-2008";"1";NA;"a";"0";"20";3,96;2,12;1,25;2,77;4,4;4,9;2,05;0,08;0,05;NA;NA;469;373
"ctb0036";"ACC-perfil-2008";"1";"A";"b";"0";"50";3,92;1,67;0,5;0,79;6,3;NA;1,35;0,08;0,01;NA;NA;655;188
"ctb0036";"ACC-perfil-2008";"2";"B";"b";"50";"100";4,84;2,97;0,9;2,37;3,7;NA;0,64;0,05;0,01;NA;NA;423;432
"ctb0036";"ACC-perfil-2008";"3";"C";"b";"100";"150";2,34;1,92;0,31;1,45;0,6;NA;0,58;0,04;0;NA;NA;693;126
"ctb0036";"ACC-2006-2008";"1";NA;"b";"0";"20";2,64;0,52;3,41;3,16;8,5;NA;13,85;0,2;0,03;NA;NA;554;267
"ctb0036";"ACC-2007-2008";"1";NA;"b";"0";"20";4,54;2,57;1,18;1,32;7,8;NA;4,82;0,21;0,08;NA;NA;619;217
"ctb0036";"ACC-3005-2008";"1";NA;"b";"0";"20";4,34;2,07;1,24;1,71;7,8;NA;1,98;0,08;0,03;NA;NA;553;281
"ctb0036";"ACC-3006-2008";"1";NA;"b";"0";"20";4,54;2,42;1,14;1,71;7;NA;1,69;0,13;0,04;NA;NA;563;276
"ctb0036";"ACC-3007-2008";"1";NA;"b";"0";"20";3,54;2,02;0,91;2,24;5,8;NA;0,68;0,1;0,08;NA;NA;525;301
"ctb0036";"ACC-3008-2008";"1";NA;"b";"0";"20";2,14;0,57;0,69;1,05;5,7;NA;2,43;0,09;0,03;NA;NA;753;123
"ctb0036";"ACC-4005-2008";"1";NA;"b";"0";"20";3,44;1,57;1;1,84;5;NA;14,5;0,06;0,02;NA;NA;595;246
"ctb0036";"ACC-4006-2008";"1";NA;"b";"0";"20";2,44;0,57;1,23;1,32;7,9;NA;1,94;0,08;0,02;NA;NA;708;139
"ctb0036";"ACC-4007-2008";"1";NA;"b";"0";"20";4,98;2,97;1,01;1,98;5,5;NA;0,76;0,08;0,1;NA;NA;537;271
"ctb0036";"ACC-5005-2008";"1";NA;"b";"0";"20";2,7;0,82;0,63;0,79;6;NA;2,81;0,07;0,02;NA;NA;723;118
"ctb0036";"ACC-5006-2008";"1";NA;"b";"0";"20";3,54;1,42;0,79;1,19;5,4;NA;1,5;0,1;0,04;NA;NA;651;180
"ctb0036";"ACC-5007-2008";"1";NA;"b";"0";"20";4,34;2,47;0,59;1,32;4,7;NA;0,78;0,07;0,15;NA;NA;556;268
"ctb0036";"ACC-6004-2008";"1";NA;"b";"0";"20";3,74;1,92;0,99;1,19;4,2;NA;0,42;0,07;0,05;NA;NA;623;249
"ctb0036";"ACC-6005-2008";"1";NA;"b";"0";"20";2,84;0,97;0,9;1,19;6,9;NA;5,55;0,08;0,03;NA;NA;687;153
"ctb0036";"ACC-6006-2008";"1";NA;"b";"0";"20";3,6;1,64;1,3;2,37;4,7;NA;1,63;0,13;0,06;NA;NA;604;204
"ctb0036";"ACC-6007-2008";"1";NA;"b";"0";"20";4,34;2,07;1,27;1,98;6,1;NA;1,1;0,28;0,07;NA;NA;516;329
"ctb0036";"ACC-7004-2008";"1";NA;"b";"0";"20";2,98;0,5;1,32;2,24;7,5;NA;1,29;0,14;0,19;NA;NA;612;223
